symbol,date,open,high,low,close,volume,marketCap
mVIXY,"Oct 22, 2021",$7.81,$7.84,$7.78,$7.80,$0,"$17,203,668"
mVIXY,"Oct 21, 2021",$7.80,$7.84,$7.78,$7.81,$0,"$17,207,823"
mVIXY,"Oct 20, 2021",$7.81,$7.83,$7.78,$7.80,$0,"$17,194,667"
mVIXY,"Oct 19, 2021",$7.81,$7.81,$7.79,$7.81,$0,"$17,206,269"
mVIXY,"Oct 18, 2021",$7.81,$7.82,$7.79,$7.81,$0,"$17,209,577"
mVIXY,"Oct 17, 2021",$7.80,$7.82,$7.79,$7.81,$0,"$17,211,411"
mVIXY,"Oct 16, 2021",$7.80,$7.85,$7.77,$7.80,$0,"$17,200,231"
mVIXY,"Oct 15, 2021",$7.81,$7.81,$7.78,$7.80,$0,"$17,195,065"
mVIXY,"Oct 14, 2021",$7.81,$7.82,$7.79,$7.81,$0,"$17,208,403"
mVIXY,"Oct 13, 2021",$7.81,$7.83,$7.79,$7.81,$0,"$17,208,567"
mVIXY,"Oct 12, 2021",$7.81,$7.84,$7.78,$7.80,$0,"$17,193,960"
mVIXY,"Oct 11, 2021",$7.80,$7.82,$7.78,$7.81,$0,"$17,216,386"
mVIXY,"Oct 10, 2021",$7.81,$7.82,$7.78,$7.80,$0,"$17,187,559"
mVIXY,"Oct 09, 2021",$7.81,$7.82,$7.79,$7.81,$0,"$17,208,411"
mVIXY,"Oct 08, 2021",$7.81,$7.83,$7.78,$7.81,$0,"$17,222,969"
mVIXY,"Oct 07, 2021",$7.81,$7.86,$7.75,$7.81,$0,"$17,207,882"
mVIXY,"Oct 06, 2021",$7.82,$7.84,$7.77,$7.80,$0,"$17,188,748"
mVIXY,"Oct 05, 2021",$7.81,$7.83,$7.79,$7.82,$0,"$17,238,128"
mVIXY,"Oct 04, 2021",$7.82,$7.85,$7.77,$7.80,$0,"$17,200,691"
mVIXY,"Oct 03, 2021",$7.82,$7.85,$7.77,$7.82,$0,"$17,244,776"
mVIXY,"Oct 02, 2021",$7.80,$7.83,$7.79,$7.81,$0,"$17,220,220"
mVIXY,"Oct 01, 2021",$7.80,$7.82,$7.78,$7.80,$0,"$17,203,748"
mVIXY,"Sep 30, 2021",$7.80,$7.82,$7.78,$7.80,$0,"$17,192,858"
mVIXY,"Sep 29, 2021",$7.80,$7.82,$7.78,$7.81,$0,"$17,215,057"
mVIXY,"Sep 28, 2021",$7.81,$7.83,$7.78,$7.81,$0,"$17,204,301"
mVIXY,"Sep 27, 2021",$7.82,$7.85,$7.78,$7.81,$0,"$17,224,936"
mVIXY,"Sep 26, 2021",$7.81,$7.89,$7.74,$7.81,$0,"$17,220,991"
mVIXY,"Sep 25, 2021",$7.80,$7.84,$7.76,$7.82,$0,"$17,226,981"
mVIXY,"Sep 24, 2021",$7.81,$7.84,$7.75,$7.81,$0,"$17,209,880"
mVIXY,"Sep 23, 2021",$7.80,$7.84,$7.76,$7.81,$0,"$17,205,357"
mVIXY,"Sep 22, 2021",$7.79,$7.85,$7.77,$7.80,$0,"$17,186,147"
mVIXY,"Sep 21, 2021",$7.80,$7.84,$7.73,$7.81,$0,"$17,213,119"
mVIXY,"Sep 20, 2021",$7.83,$7.84,$7.77,$7.80,$0,"$17,202,444"
mVIXY,"Sep 19, 2021",$7.82,$7.89,$7.80,$7.83,$200,"$17,257,747"
mVIXY,"Sep 18, 2021",$7.83,$7.87,$7.80,$7.82,$0,"$17,228,730"
mVIXY,"Sep 17, 2021",$7.87,$7.88,$7.81,$7.82,"$35,933","$17,241,002"
mVIXY,"Sep 16, 2021",$7.87,$7.88,$7.85,$7.87,$0,"$17,337,750"
mVIXY,"Sep 15, 2021",$7.87,$7.89,$7.85,$7.87,$0,"$17,340,228"
mVIXY,"Sep 14, 2021",$7.86,$7.89,$7.82,$7.88,$0,"$17,362,040"
mVIXY,"Sep 13, 2021",$7.87,$7.91,$7.82,$7.87,$0,"$17,353,952"
mVIXY,"Sep 12, 2021",$7.87,$7.91,$7.83,$7.87,$0,"$17,339,383"
mVIXY,"Sep 11, 2021",$7.88,$7.93,$7.82,$7.87,$0,"$17,344,711"
mVIXY,"Sep 10, 2021",$7.86,$8.00,$7.78,$7.88,$0,"$17,379,915"
mVIXY,"Sep 09, 2021",$7.84,$7.90,$7.69,$7.85,$0,"$17,306,280"
mVIXY,"Sep 08, 2021",$7.84,$7.87,$7.81,$7.84,$0,"$17,279,345"
mVIXY,"Sep 07, 2021",$7.84,$7.96,$7.73,$7.84,$0,"$17,284,052"
mVIXY,"Sep 06, 2021",$7.83,$7.88,$7.80,$7.84,$0,"$17,275,406"
mVIXY,"Sep 05, 2021",$7.85,$7.86,$7.83,$7.84,$0,"$17,272,320"
mVIXY,"Sep 04, 2021",$7.83,$7.86,$7.82,$7.85,$0,"$17,297,464"
